"id1","char","cls","atr","bg","rarityscore","rank_number"
2040,"Gold Tiger","Knight_Unique","Unique3","G1",12348.045833333334,1
2055,"Gold Hart","Fighter_Unique","Unique4","G1",7517.678486394558,2
40,"Red Gator","Magician_Unique","Unique1","G1",7466.853914141414,3
595,"Crow","Medic_Unique","Unique2","U",5563.977693602694,4
2545,"Frog 2","Medic_Unique","Unique5","U",5563.921979865772,5
305,"Goat","Cosmonaut_v1_c1","None","F2",4960.480224533997,6
4775,"Frog","Medic_v2_c3","None","B3",4955.074236902812,7
57,"Owl 2","ShadowCoder_v1_c1","Pipe","E3",2507.8521730481857,8
93,"Dog","ShadowCoder_v1_c1","None","B3",2489.5181467217226,9
1609,"Tiger","Medic_v2_c1","None","C3",1706.531902628406,10
4015,"Owl 2","Medic_v2_c2","Aura Purple","F1",1698.661204304397,11
1185,"Platypus","Medic_v2_c1","None","C2",1676.7802884868388,12
4339,"Red Panda","Medic_v2_c2","None","F1",1676.1879315019423,13
1540,"Shiba Inu","Medic_v2_c1","None","E2",1669.5097935499514,14
4613,"Rabbit","Medic_v2_c2","None","E1",1666.046657708453,15
3445,"Black Red Panda","Fighter_v2_c1","Lava Hands","A1",1077.4534816751172,16
1672,"Cat","Fighter_v2_c1","Lava Hands","B1",1064.1965671204803,17
2778,"Owl 2","Fighter_v2_c1","Head Tech","E2",1052.044068498081,18
410,"Frog","Fighter_v2_c1","Monocle","B1",1032.3901350199305,19
404,"Owl","Fighter_v2_c1","Pipe","B2",1027.1714113848618,20
2218,"Cat","Pirate_v3_c3","Dragon Wings","A1",454.93197079102254,21
844,"Rabbit","Medic_v3_c3","Laser Eyes","C3",361.76585956416466,22
4601,"Husky","Knight_v1_c1","Diamond Hands","C2",361.6676945084505,23
3155,"Goat","Pirate_v3_c3","Laser Eyes","E1",354.82521648403156,24
2963,"Dog","Knight_v1_c1","Diamond Hands","A1",353.1292740624637,25
542,"Dog","Pirate_v1_c3","Dragon Wings","B2",352.4330265744429,26
638,"Goat","Pirate_v3_c1","Dragon Wings","A1",349.323775257827,27
3819,"Gator","Mercenary_v3_c1","Dragon Wings","G1",336.781633023311,28
2923,"Tiger","Pirate_v3_c3","Crystal Necklace","A1",334.723641623066,29
1517,"Black Cat","Pirate_v3_c2","Diamond Hands","A2",327.5006843701336,30
3331,"Husky","Pirate_v3_c2","Diamond Hands","D3",327.0901333503416,31
1957,"Goat","Detective_v1_c3","Dragon Wings","F2",326.609972932799,32
2239,"Cat","Pirate_v3_c2","Diamond Hands","E2",325.38730951209465,33
1553,"White Tiger","Magician_v4_c2","Bandana","D2",324.12635744026966,34
3444,"Stag","Medic_v3_c3","Techno Skin Purple","F3",323.8649662325885,35
1158,"Gator","Pirate_v3_c3","Sunglasses","C3",319.8924420615704,36
1364,"Nega Tiger","Knight_v2_c3","Mutton Chop","A1",316.9214401113866,37
749,"Nega Tiger","Mercenary_v3_c3","None","A1",314.6005335176592,38
919,"Shiba Inu","Pirate_v2_c3","Dragon Wings","D1",313.77363507947763,39
4719,"Black Red Panda","Medic_v3_c3","Ice Hands","B2",313.6033369148953,40
3512,"Stag","Detective_v1_c1","Diamond Hands","E3",313.11238379778746,41
1468,"Gold Hart","Detective_v3_c2","Unicorn","D2",308.4924474335189,42
2401,"Crow","Bard_v3_c3","Laser Eyes","D1",307.1870375634538,43
614,"Panda","Pirate_v3_c3","Mustache","B2",306.8241206540463,44
4262,"Black Red Panda","Medic_v3_c3","Beard","D3",306.56192524618865,45
582,"Dog","Peddler_v1_c3","Diamond Hands","A3",306.3808420717866,46
2109,"White Tiger","Magician_v4_c2","None","E3",305.6546177808838,47
4318,"Frog 2","Pirate_v3_c3","Crystal Necklace","B1",304.18864653243844,48
2426,"Gold Hart","Knight_v1_c2","Fire Eyes","A1",301.8501028750499,49
140,"Owl","Mercenary_v3_c1","Dragon Wings","A3",301.5433180426172,50
2658,"Cat","Pirate_v3_c3","Fire Eyes","E2",301.4102806723897,51
4905,"Black Red Panda","Medic_v3_c3","Tattoo 3","A3",299.2662571368068,52
2341,"Husky","Bard_v3_c2","Dragon Wings","F2",299.1037245703426,53
1569,"Nega Tiger","Knight_v2_c2","Beard","A3",298.71305116052446,54
3849,"Owl 2","Knight_v1_c1","Laser Eyes","G1",298.4371003719311,55
4103,"Owl","Magician_v4_c1","Dragon Wings","A3",298.1601276481061,56
2891,"Husky","Mercenary_v2_c3","Dragon Wings","A1",297.9808025086462,57
3771,"Gold Hart","Knight_v2_c2","Mustache","B2",297.3970387868166,58
983,"Platypus","Bard_v2_c1","Dragon Wings","G1",297.12699569227345,59
26,"Goat","Pirate_v3_c3","Mustache","F3",295.09494811687154,60
375,"Goat","Pirate_v3_c3","Fire Aura","A3",294.3511479391513,61
1280,"Platypus","Pirate_v3_c3","Beard","D1",293.7601465846039,62
854,"Shiba Inu","Pirate_v3_c3","Beard","B3",293.6997869621057,63
4488,"Black Cat","Medic_v3_c3","Mustache","D2",293.45224113360763,64
3054,"Owl","Medic_v3_c3","Robotic Hand","B1",292.7966054734348,65
3032,"Red Gator","Bard_v3_c3","Fire Eyes","F2",292.4929981381481,66
2904,"White Tiger","Knight_v2_c2","Earring","A2",292.12668097205386,67
662,"Black Red Panda","Magician_v4_c2","Lava Hands","D1",291.65882317282336,68
4151,"Husky","Medic_v3_c3","Tattoo 5","F2",290.93807286094085,69
4025,"Rabbit","Medic_v3_c3","Spiked Body","A2",290.0420270427959,70
156,"Red Black Panda","Mercenary_v3_c3","Cigar","C1",289.9743075551899,71
3705,"Dog","Pirate_v3_c3","White Eyes","A2",289.6853574973103,72
3476,"Shiba Inu","Detective_v2_c3","Diamond Hands","A1",289.4302807612587,73
2895,"Shiba Inu","Medic_v3_c3","Tattoo 1","D3",289.29104766689017,74
2814,"Nega Tiger","Knight_v2_c3","None","D2",288.4604920935661,75
1162,"Frog 2","Pirate_v3_c3","Pipe","B1",287.42214708985205,76
3200,"White Tiger","Mercenary_v3_c2","Electric","B1",287.39804018445324,77
143,"Frog","Medic_v3_c3","Mustache","A3",286.78439602099274,78
3896,"Black Red Panda","Magician_v4_c3","Diamond Hands","B2",284.9347322637325,79
710,"Owl 2","Pirate_v1_c1","Diamond Hands","A2",284.91165232358003,80
3040,"Owl","Medic_v3_c3","Tattoo 3","E2",284.28330479714515,81
820,"Owl","Medic_v3_c3","Bandana","A3",284.2223467267374,82
3346,"Gold Hart","Knight_v2_c3","None","B1",284.20145405988484,83
311,"Frog","Medic_v3_c3","Tattoo 5","E3",283.9138871429569,84
3585,"Rabbit","Knight_v2_c3","Laser Eyes","A1",283.0013995574851,85
1028,"Frog","Medic_v3_c3","Tattoo 4","A1",282.45574259604433,86
4768,"Platypus","Pirate_v3_c3","None","C2",279.663621820172,87
102,"Nega Tiger","Knight_v1_c1","None","A2",279.1730247139716,88
583,"Frog","Bard_v1_c1","Dragon Wings","A2",275.98234794861713,89
4474,"Rabbit","Bard_v2_c1","Dragon Wings","A2",275.1260083317772,90
691,"Red Panda","Knight_v2_c1","Laser Eyes","A3",274.43978441379346,91
505,"White Tiger","Magician_v4_c3","Fire Skin","E1",273.49260265098667,92
2211,"Gator","Peddler_v1_c2","Diamond Hands","E3",272.95822805107883,93
586,"Husky","Peddler_v2_c3","Diamond Hands","A2",272.6899647924917,94
4524,"Black Cat","Medic_v3_c3","None","E1",272.34126741674305,95
3576,"Rabbit","Pirate_v3_c3","None","D1",270.65790230229885,96
218,"White Tiger","Detective_v3_c2","Beard","B3",270.55565152104407,97
1515,"Rabbit","Medic_v3_c3","None","E3",268.95070535150535,98
4133,"Dog","Pirate_v3_c3","None","E3",268.8381447169108,99
1508,"Husky","Pirate_v3_c3","None","E2",268.73109035561373,100
3798,"Owl","Medic_v3_c3","None","A3",267.50361157253633,101
852,"Frog","Medic_v3_c3","None","A1",267.4360903510884,102
1471,"Frog","Pirate_v3_c3","None","A2",267.4324321221134,103
528,"Cat","Pirate_v3_c3","None","A3",267.39105093794177,104
1790,"Crow","Pirate_v3_c3","None","A1",267.3800001699982,105
1638,"Dog","Medic_v3_c3","None","A1",267.3800001699982,105
2942,"Red Gator","Bard_v3_c3","Tattoo 5","A3",266.3060903882849,107
100,"Gator","Medic_v1_c2","Diamond Hands","A3",265.7940328228345,108
1873,"Black Red Panda","Mercenary_v3_c3","Rock Hands","A3",264.86034349475426,109
874,"Gold Hart","Peddler_v3_c2","Techno Skin Purple","D3",262.97239819615305,110
1923,"Gator","Bard_v3_c3","Mustache","F1",262.7596729081822,111
4895,"Stag","Mercenary_v3_c3","Bandana","D2",262.70948383847997,112
4995,"Stag","Knight_v2_c1","Unicorn","E1",262.6609876698866,113
1379,"Black Red Panda","Medic_v3_c1","Fire Skin","E1",262.5597766682446,114
2308,"Gator","Mercenary_v3_c3","Bandana","A3",259.95964350985736,115
2634,"Black Red Panda","Mercenary_v3_c3","Pipe","A1",259.64310871474436,116
2512,"White Tiger","Detective_v2_c1","Head Tech","A2",259.42774198001143,117
1729,"Panda","Bard_v3_c3","Aura Purple","E1",259.0020789587511,118
