"id1","rank_number","char","cls","atr","bg","rarityscore"
1,1359,"Crow","Magician_v4_c3","Lava Hands","E2",158.35235280213791
2,1642,"Rabbit","Mercenary_v2_c3","Horns 2","C2",151.33242046478045
3,381,"Gold Hart","Peddler_v2_c2","Tattoo 5","A2",209.53049909905545
4,3013,"Rabbit","Mercenary_v2_c1","Earring","A3",125.74754023551867
5,4031,"Shiba Inu","Farmer_v2_c1","Bandana","A2",111.59425702883043
6,919,"Goat","Bard_v1_c2","Laser Eyes","A1",172.5844529135046
7,922,"Dog","Peddler_v3_c3","Cigar","B1",172.56994227473768
8,2591,"Platypus","Farmer_v2_c1","Tattoo 2","G1",132.72000198093195
9,2496,"Panda","Magician_v1_c2","Horns","E2",134.00204961555673
10,4071,"Cat","Hunter_v2_c1","Beard","B2",111.06860432281803
11,3303,"Rabbit","Peddler_v1_c2","Beard","C2",120.52578055307761
12,3797,"Platypus","Hunter_v2_c2","Beard","B2",113.84528171973895
13,533,"Cat","Knight_v2_c2","None","D2",194.0756319807162
14,3815,"Shiba Inu","Bard_v1_c3","Tattoo 4","C2",113.79677605527837
15,666,"Stag","Peddler_v3_c3","Cigar","A3",185.83790759731838
16,4367,"Crow","Farmer_v1_c1","Tattoo 3","E1",108.09422762006393
17,4756,"Owl","Fighter_v3_c2","None","A2",93.45360845797065
18,1980,"Red Gator","Magician_v4_c1","None","E2",145.09673675246813
19,4065,"Frog 2","Medic_v1_c3","White Eyes","E3",111.17658167141121
20,360,"Black Cat","Knight_v1_c2","Spiked Body","E2",212.68043223593162
21,4762,"Crow","Farmer_v3_c1","None","A3",93.35575682029472
22,2113,"Red Gator","Farmer_v3_c2","Antlers","A1",141.94382930288106
23,4261,"Cat","Medic_v1_c3","Cigar","A1",109.53482839976247
24,2712,"Platypus","Farmer_v3_c1","Crystal Necklace","A2",130.66054381579053
25,425,"Red Black Panda","Magician_v3_c1","Fire Eyes","F1",204.64753548485945
26,60,"Goat","Pirate_v3_c3","Mustache","F3",295.09494811687154
27,1057,"Frog 2","Detective_v2_c3","Head Tech","B1",167.1445498307893
28,1865,"Frog 2","Magician_v1_c3","None","D1",147.21462793078248
29,2829,"Black Red Panda","Peddler_v2_c3","None","E3",128.43395630030625
30,1801,"Red Gator","Fighter_v3_c1","Aura Purple","E1",148.46879922261425
31,3133,"Stag","Medic_v1_c2","Pipe","B1",123.16579362229056
32,778,"Black Red Panda","Pirate_v1_c3","None","E3",179.6651251314751
33,389,"Nega Tiger","Peddler_v2_c1","None","C3",208.77861786296302
34,3216,"Cat","Bard_v1_c1","Tattoo 4","G1",121.81799991928416
35,3331,"Owl 2","Bard_v2_c3","Horns","D2",119.99354116995177
36,1283,"Frog 2","Mercenary_v1_c1","Head Tech","F1",160.9067401565666
37,1862,"Husky","Detective_v1_c2","Pipe","A3",147.22662406136055
38,3537,"Owl 2","Mercenary_v2_c3","None","B1",116.91941644746855
39,219,"Stag","Knight_v1_c1","Monocle","B1",232.65979372631097
40,3,"Red Gator","Magician_Unique","Unique1","G1",7466.853914141414
41,2400,"Black Red Panda","Bard_v1_c3","Fire Eyes","A3",135.7024603133127
42,2648,"Husky","Magician_v2_c1","None","E3",131.81020875776676
43,2508,"Black Cat","Magician_v2_c1","None","A2",133.92795672835223
44,2637,"Panda","Farmer_v2_c3","Earring","C2",131.94789878858202
45,2359,"Shiba Inu","Mercenary_v1_c2","Robotic Hand","A1",136.16056150992182
46,1963,"Owl","Pirate_v2_c2","Spiked Body","D2",145.3268343238682
47,1440,"Crow","Fighter_v3_c2","Unicorn","D1",156.0456720172354
48,577,"Black Cat","Bard_v3_c2","Fire Skin","E2",190.85934028190863
49,1525,"Owl","Magician_v2_c2","Cigar","E1",154.0274619141932
50,3690,"Platypus","Farmer_v1_c1","Pipe","D1",114.99119536038944
51,2313,"Red Panda","Magician_v3_c3","None","B2",136.85349035891747
52,1794,"Red Gator","Farmer_v3_c1","Rock Hands","A2",148.61612812339246
53,157,"Husky","Mercenary_v3_c3","Mustache","D2",248.78102372046786
54,4327,"Dog","Medic_v1_c2","Robotic Hand","A2",108.642701702319
55,2413,"Platypus","Peddler_v3_c1","None","E2",135.5040693375785
56,4254,"Cat","Farmer_v3_c2","Tattoo 1","D3",109.57758201899833
57,8,"Owl 2","ShadowCoder_v1_c1","Pipe","E3",2507.8521730481857
58,1906,"Dog","Pirate_v1_c1","Fire Aura","A1",146.3540069901175
59,747,"Owl 2","Pirate_v3_c2","Bandana","A3",181.64601962656917
60,1530,"Cat","Farmer_v3_c2","Unicorn","D3",153.9738232777396
61,3541,"Black Cat","Fighter_v1_c3","Rock Hands","A3",116.87743818497937
62,1635,"Black Cat","Detective_v1_c1","Earring","A3",151.5724529741118
63,3531,"Crow","Bard_v1_c3","Rock Hands","F1",117.05725368313604
64,3247,"Cat","Bard_v3_c2","Earring","B1",121.38706828598133
65,376,"Frog","Knight_v2_c2","Mustache","A2",210.25416978269482
66,4351,"Gator","Bard_v2_c3","None","A3",108.22543216518014
67,3041,"Panda","Bard_v1_c1","Bandana","D2",125.24935366615728
68,169,"Cat","Mercenary_v3_c3","Earring","D3",244.59305820947452
69,2635,"Owl 2","Peddler_v2_c3","Pipe","E3",132.00671850273102
70,2802,"Owl","Peddler_v2_c3","Tattoo 1","D2",128.9476385196724
71,4339,"Rabbit","Magician_v1_c2","Tattoo 5","A1",108.47691893190161
72,3861,"Red Panda","Hunter_v2_c3","Beard","B1",113.50517524241594
73,1493,"Panda","Peddler_v2_c1","Bubble Pipe","C2",154.69100082005616
74,765,"Cat","Medic_v3_c1","Tattoo 3","B1",180.3340060999404
75,3166,"Stag","Farmer_v2_c1","Tattoo 5","A2",122.7801174576863
76,4427,"Black Cat","Bard_v1_c1","Tattoo 5","A1",106.92143462998489
77,4138,"Crow","Mercenary_v2_c2","None","A3",110.49559639248723
78,3131,"Frog 2","Farmer_v2_c2","Spiked Body","F1",123.20207276803863
79,2956,"Gator","Medic_v1_c1","Bubble Pipe","B1",126.50251450765678
80,1627,"Rabbit","Bard_v2_c1","Feathered Wings","B2",151.85911062256082
81,2215,"Red Panda","Pirate_v1_c1","Bandana","A2",139.44544800865967
82,2324,"Frog","Pirate_v1_c1","Bubble Pipe","A1",136.51661791904172
83,1695,"Frog 2","Magician_v2_c3","Pipe","D2",150.4267223455143
84,3067,"Red Panda","Pirate_v1_c2","None","A1",124.7430241446581
85,2739,"Crow","Magician_v2_c3","None","A2",130.40411971880096
86,2407,"Frog 2","Fighter_v1_c3","Marked Skin 2","B1",135.60400558223688
87,4809,"Husky","Hunter_v1_c3","None","A1",92.23805454901843
88,4148,"Owl","Bard_v1_c2","Horns","E1",110.43567326474002
89,4531,"Frog 2","Magician_v4_c3","None","E1",104.39505000360327
90,2195,"Tiger","Bard_v3_c2","None","B2",139.89230792895623
91,614,"Crow","Knight_v2_c1","None","D1",188.36200833437093
92,4421,"Black Red Panda","Hunter_v2_c2","None","D3",107.12174293168943
93,9,"Dog","ShadowCoder_v1_c1","None","B3",2489.5181467217226
94,1032,"Goat","Detective_v2_c1","Mutton Chop","D1",167.79171073689415
95,583,"Nega Tiger","Bard_v1_c3","Tattoo 5","A1",189.90851909594846
96,4455,"Owl 2","Bard_v1_c2","Bandana","A3",106.50697200752154
97,2570,"Frog","Fighter_v3_c3","Tattoo 3","A1",132.95630493090732
98,2973,"Goat","Farmer_v1_c1","Techno Skin Blue","B2",126.16638606156948
99,1252,"Platypus","Pirate_v1_c2","Crystal Necklace","B3",161.97029577536122
100,108,"Gator","Medic_v1_c2","Diamond Hands","A3",265.7940328228345
101,733,"Rabbit","Detective_v3_c1","Earring","E1",182.54878601492905
102,88,"Nega Tiger","Knight_v1_c1","None","A2",279.1730247139716
103,1307,"Black Red Panda","Pirate_v1_c2","Robotic Hand","A1",160.02361245470183
104,241,"Husky","Mercenary_v3_c3","None","D2",229.44376881850707
105,1641,"Stag","Bard_v2_c3","Mohawk","D2",151.38201765063604
106,624,"Black Cat","Detective_v3_c1","Earring","B3",187.7107787044164
107,327,"Panda","Knight_v2_c2","None","F3",216.12760987682242
108,3523,"Black Cat","Peddler_v2_c3","None","D3",117.17372413180101
109,4095,"Husky","Medic_v1_c3","Monocle","E2",110.88591858537798
110,3258,"Platypus","Farmer_v2_c3","Aura Aqua","D2",121.2297815647022
111,3868,"Goat","Farmer_v1_c2","Rock Hands","A2",113.39498235959965
112,3438,"Goat","Bard_v2_c1","Spiked Body","F3",118.39595281722399
113,363,"Panda","Medic_v3_c2","Ice Hands","B3",212.55581168915037
114,3363,"Black Cat","Magician_v1_c2","Mustache","B3",119.39394451558735
115,3802,"Dog","Farmer_v2_c1","Aura Purple","A1",113.82598178003352
116,4335,"Owl","Farmer_v3_c1","Tattoo 5","A3",108.4879696998452
117,1902,"Platypus","Peddler_v2_c1","Cigar","C2",146.49812972961595
118,1881,"Husky","Hunter_v2_c2","Unicorn","A1",146.94504603538968
119,3864,"Frog","Fighter_v3_c2","Pipe","D1",113.42964681371018
120,1917,"Frog 2","Detective_v2_c3","Tattoo 2","D1",146.00604949940993
121,3143,"Rabbit","Hunter_v1_c1","Mutton Chop","A2",123.05385678839276
122,2273,"Dog","Peddler_v2_c1","Spiked Body","B1",137.93229102620407
123,131,"Stag","Bard_v3_c3","Tattoo 1","B1",252.935001081498
124,1779,"Frog 2","Magician_v3_c3","None","G1",148.77246650970477
125,4330,"Frog 2","Medic_v1_c1","Mustache","A3",108.60870321409189
126,1205,"Tiger","Mercenary_v1_c2","Tattoo 3","D3",162.74746012018343
127,2309,"Dog","Pirate_v2_c1","Antlers","A2",136.91192672566166
128,797,"White Tiger","Magician_v1_c1","None","E3",178.85747492374097
129,1335,"Owl 2","Detective_v1_c3","Bubble Pipe","C1",159.0297185162834
130,3109,"Shiba Inu","Hunter_v2_c2","Fire Eyes","A1",123.69493467573658
131,4268,"Frog","Farmer_v1_c2","Tattoo 4","B2",109.51394123660754
132,835,"Rabbit","Magician_v1_c3","Techno Skin Blue","E1",177.32708811170414
133,2094,"Black Cat","Hunter_v3_c3","None","F3",142.25321782114958
134,759,"Black Red Panda","Magician_v3_c3","Horns 2","E3",180.4983686462723
135,2734,"Frog","Peddler_v3_c1","None","A2",130.4602098998911
136,3112,"Gator","Fighter_v1_c3","Tattoo 3","A3",123.6093722351952
137,2593,"Dog","Fighter_v1_c2","Head Tech","A1",132.70051344277357
138,3599,"Goat","Peddler_v1_c1","White Eyes","E3",116.11701857023007
139,355,"White Tiger","Magician_v4_c1","Bandana","A2",213.32609561374275
140,50,"Owl","Mercenary_v3_c1","Dragon Wings","A3",301.5433180426172
141,1951,"Rabbit","Pirate_v1_c1","Antlers","F1",145.43903934107325
142,2668,"Stag","Magician_v1_c1","Tattoo 1","F2",131.49764083305084
143,78,"Frog","Medic_v3_c3","Mustache","A3",286.78439602099274
144,1429,"Husky","Detective_v1_c1","Earring","C3",156.30345432351746
145,1068,"Panda","Hunter_v3_c3","Mustache","A1",166.68655693411796
146,4011,"Shiba Inu","Hunter_v2_c3","Antlers","B1",111.77139445473372
147,271,"Gator","Knight_v1_c2","Rock Hands","A3",224.21893478361883
148,1583,"Frog","Detective_v1_c3","White Eyes","A1",152.7728836851532
149,2572,"Black Cat","Mercenary_v2_c2","Antlers","E3",132.93211196564602
150,2879,"Frog","Peddler_v2_c2","Bubble Pipe","A3",127.56221414153077
151,3604,"Cat","Farmer_v2_c2","Marked Skin","E1",116.04021407942085
152,2872,"Red Gator","Farmer_v1_c2","None","D3",127.64358601594861
153,4365,"Goat","Fighter_v1_c3","Tattoo 3","E2",108.11969148649786
154,2269,"Red Panda","Magician_v4_c3","Techno Skin Blue","A1",137.96580148668482
155,2911,"Crow","Farmer_v3_c3","Techno Skin Purple","D3",127.13120685356421
156,71,"Red Black Panda","Mercenary_v3_c3","Cigar","C1",289.9743075551899
157,1309,"Tiger","Farmer_v1_c2","Techno Skin Purple","B3",159.84673386241602
158,4075,"Shiba Inu","Peddler_v1_c2","Tattoo 1","A2",111.03581605615115
159,598,"Frog","Medic_v3_c2","Aura Aqua","A2",188.9681316193035
160,4088,"Platypus","Bard_v1_c1","Antlers","E2",110.93982154991866
161,3285,"Frog","Fighter_v3_c3","None","B3",120.76051141261641
162,888,"Red Black Panda","Mercenary_v2_c1","Horns","C3",174.32055125004024
163,4043,"Frog 2","Fighter_v3_c2","Tattoo 5","B2",111.47398605809138
164,3044,"Black Cat","Farmer_v2_c3","Cigar","F3",125.1879902808581
165,4371,"Cat","Farmer_v3_c2","Bandana","A2",107.9879342380814
166,1195,"Dog","Pirate_v3_c1","None","E3",163.17385900262505
167,2737,"Crow","Peddler_v2_c1","Tattoo 1","B2",130.44953969095602
168,3259,"Platypus","Medic_v1_c3","Fire Aura","D1",121.22397109022398
169,1576,"Crow","Magician_v3_c1","Aura Purple","A2",152.9572441859791
170,3261,"Owl 2","Hunter_v1_c3","Aura Purple","B2",121.21275349953649
171,2567,"Gator","Hunter_v1_c3","Marked Skin","E1",132.98173816380205
